Año,Mes,Plan,Sede,Ciudad,Vendedor,Total Ventas
2015,12,351,5,8,2758,1
2012,1,143,5,1,49,24
2012,1,143,5,40,49,1
2012,1,143,3,78,3753,1
2012,1,143,5,5,2298,4
2012,1,143,5,1,750,1
2012,1,143,5,1,2476,10
2012,1,143,5,6,2298,1
2012,1,143,5,5,2476,1
2012,1,143,5,9,49,5
2012,1,143,5,1,2164,10
2012,1,143,5,91,2164,1
2012,1,143,5,1,2298,4
2012,1,143,3,78,1949,1
2012,1,143,5,78,49,12
2012,1,144,5,1,2164,2
2012,1,144,5,1,49,1
2012,1,321,5,8,3110,2
2012,1,321,5,1,2502,2
2012,1,321,5,9,750,1
2012,1,321,5,1,2006,12
2012,1,321,5,8,2017,5
2012,1,321,5,5,2502,5
2012,1,321,5,1,2505,11
2012,1,321,5,1,2499,2
2012,1,321,5,13,2017,1
2012,1,321,5,8,2006,2
2012,1,321,5,1,750,15
2012,1,321,5,6,3110,3
2012,1,321,3,78,525,1
2012,1,321,5,1,3110,48
2012,1,321,5,5,2501,1
2012,1,321,5,5,750,1
2012,1,321,5,5,2480,1
2012,1,321,5,1,2511,7
2012,1,321,5,3,750,1
2012,1,321,5,4,2006,3
2012,1,321,5,4,2017,3
2012,1,321,5,12,2006,2
2012,1,321,5,78,3110,2
2012,1,321,5,6,2017,2
2012,1,321,5,1,2501,1
2012,1,321,5,2,750,1
2012,1,321,5,1,2017,7
2012,1,321,5,5,2017,1
2012,1,321,5,4,750,1
2012,1,321,5,78,750,1
2012,1,321,5,78,2017,1
2012,1,321,5,1,2456,1
2012,1,321,5,1,2469,9
2012,1,321,5,8,750,2
2012,1,321,5,5,2504,5
2012,1,321,5,6,2006,2
2012,1,321,5,2,3110,3
2012,1,321,5,5,2503,3
2012,1,321,5,9,3110,1
2012,1,322,5,5,2502,3
2012,2,143,5,6,2476,1
2012,2,143,5,2,2298,1
2012,2,143,5,11,2298,1
2012,2,143,3,78,1949,1
2012,2,143,5,78,2476,1
2012,2,143,5,1,2164,10
2012,2,143,5,1,49,44
2012,2,143,5,4,2298,1
