fecha,plan,sede,depto,ciudad,vendedor,cantidad
20120309,143,5,4,5,2164,1
20120316,143,5,4,1,49,4
20120317,143,5,4,4,2164,1
20120313,143,5,4,1,2164,2
20120325,143,5,4,1,2164,1
20120327,143,5,4,1,2298,1
20120413,143,5,4,5,2298,1
20120411,143,5,4,1,2164,2
20120418,143,5,4,1,49,4
20120419,143,5,4,3,2298,2
20120430,143,5,4,1,2298,1
20120429,143,5,4,1,2298,1
20120131,143,5,4,1,2298,1
20120208,143,5,4,1,2298,1
20120204,143,5,4,1,2476,1
20120508,143,5,4,1,49,1
20120221,144,5,4,1,49,2
20170621,193,5,4,4,7699,1
20170809,193,5,4,1,7699,3
20170830,193,5,4,4,2847,1
20171027,193,5,4,1,750,1
20171110,193,5,4,1,2859,8
20171211,193,5,4,1,2861,1
20171213,193,5,4,1,2861,2
20170814,194,5,4,1,2847,2
20180201,203,5,4,1,2861,5
20180207,203,5,4,1,2870,1
20180216,203,5,4,2,2871,1
20120309,321,5,4,6,3110,1
20120306,321,5,4,8,3110,1
20120307,321,5,4,1,3110,2
20120306,321,5,4,1,2006,1
20120308,321,5,4,1,2017,2
20120311,321,5,4,1,750,1
20120315,321,5,4,2,2017,2
20120313,321,5,4,4,2017,1
20120317,321,5,4,1,2017,2
20120323,321,5,4,2,2017,3
20120321,321,5,4,2,3110,1
20120327,321,5,4,6,2511,1
20120331,321,5,4,2,2006,2
20120402,321,5,4,1,2006,1
20120413,321,5,4,2,2006,1
20120411,321,5,4,2,2524,1
20120411,321,5,4,2,2525,1
20120411,321,5,4,1,3110,3
20120411,321,5,4,2,2017,3
20120412,321,5,4,6,2523,1
20120418,321,5,4,2,2525,4
20120420,321,5,4,2,2017,1
20120425,321,5,4,4,2017,1
20120423,321,5,4,2,2525,1
20120422,321,5,4,8,2017,1
20120430,321,5,4,2,2017,1
20120504,321,5,4,4,2017,1
20120603,321,5,4,1,3110,1
20120531,321,5,4,3,2533,2
20120603,321,5,4,1,49,1
20120601,321,5,4,1,49,1
20120531,321,5,4,3,2534,2
