fecha,plan,sede,dpto,ciudad,vendedor,cantidad
20120113,143,3,1,67,3529,1
20120110,143,3,1,67,3529,1
20120110,143,3,1,67,3693,1
20120111,143,3,1,73,3693,1
20120120,143,3,1,67,3529,1
20120209,143,3,1,67,3673,1
20120208,143,3,1,41,3737,1
20120126,143,3,1,67,1997,1
20120127,143,3,1,73,3693,1
20120127,143,3,1,67,3693,1
20120201,143,3,1,67,3693,1
20120306,143,3,1,67,3771,2
20120306,143,3,1,67,3655,1
20120309,143,3,1,67,3693,2
20120307,143,3,1,69,3529,2
20120306,143,3,1,67,3752,2
20120217,143,3,1,71,3655,1
20120215,143,3,1,67,939,2
20120213,143,3,1,77,3673,1
20120222,143,3,1,67,3673,1
20120225,143,3,1,67,3737,1
20120221,143,3,1,41,3752,1
20120302,143,3,1,67,3693,2
20120301,143,3,1,87,3693,1
20120301,143,3,1,67,1949,4
20120228,143,3,1,67,3775,1
20120530,143,3,1,67,3673,3
20120601,143,3,1,64,3673,1
20120308,143,3,1,67,3776,1
20120306,143,3,1,67,1949,2
20120307,143,3,1,69,1997,1
20120314,143,3,1,67,3529,1
20120315,143,3,1,67,3737,2
20120322,143,3,1,67,3752,1
20120323,143,3,1,67,3693,1
20120324,143,3,1,67,1911,1
20120608,143,3,1,67,3673,2
20120607,143,3,1,77,1997,2
20120607,143,3,1,75,939,2
20120614,143,3,1,67,3673,1
20120612,143,3,1,67,3529,1
20120329,143,3,1,73,3529,1
20120613,143,3,1,67,939,1
20120412,143,3,1,85,1997,3
20120408,143,3,1,41,1997,1
20120403,143,3,1,67,3632,1
20120404,143,3,1,67,3632,1
20120411,143,3,1,85,1949,1
20120416,143,3,1,71,3673,1
20120420,143,3,1,85,3529,2
20120418,143,3,1,67,3771,2
20120422,143,3,1,85,1997,1
20120424,143,3,1,67,939,1
20120428,143,3,1,67,939,1
20120508,143,3,1,67,3673,3
20120508,143,3,1,73,3693,1
20120514,143,3,1,79,3673,1
20120514,143,3,1,67,3529,1
20120514,143,3,1,71,1997,1
20120524,143,3,1,67,940,1
20120528,143,3,1,67,1997,2
20120730,143,3,1,67,1997,4
20120804,143,3,1,67,3693,1
20120801,143,3,1,71,3802,1
20120810,143,3,1,82,1997,1
20120620,143,3,1,77,3529,1
20120628,143,3,1,67,3673,4
20120629,143,3,1,41,1997,4
20120629,143,3,1,69,3529,1
20120706,143,3,1,77,3673,1
20120712,143,3,1,67,1911,1
20120710,143,3,1,41,3529,3
20120709,143,3,1,86,3673,4
20120716,143,3,1,41,3792,2
20120717,143,3,1,67,3673,1
20120724,143,3,1,69,1911,1
20120724,143,3,1,86,3529,1
20120727,143,3,1,75,3792,2
20120727,143,3,1,41,3799,3
20121005,143,3,1,41,3799,3
20121004,143,3,1,41,3799,9
20121004,143,3,1,68,3799,1
20121002,143,3,1,67,1997,1
20121004,143,3,1,67,3799,1
20121005,143,3,1,79,3673,1
20121003,143,3,1,67,939,2
20121005,143,3,1,74,3725,3
20120816,143,3,1,67,3801,1
20120817,143,3,1,71,3802,1
20120815,143,3,1,67,1997,1
20120813,143,3,1,67,3737,2
20120816,143,3,1,71,939,3
20120817,143,3,1,71,939,1
20120814,143,3,1,89,3725,4
20120813,143,3,1,67,3725,2
20120820,143,3,1,41,3798,1
20120831,143,3,1,41,3799,2
20120831,143,3,1,86,3725,1
20120901,143,3,1,76,3725,1
20120829,143,3,1,67,3737,3
20120831,143,3,1,41,3798,1
20120828,143,3,1,67,3801,3
20120901,143,3,1,67,1997,1
20120829,143,3,1,66,1997,1
20120830,143,3,1,67,1997,1
20120830,143,3,1,89,3801,3
20120906,143,3,1,67,3801,8
