depto,ciudad,fecha,,vendedor,cantidad
1,67,20130121,6,1022,1
1,67,20120411,6,1786,1
1,67,20130109,6,4071,1
1,67,20120821,6,1027,2
1,67,20121211,6,1161,1
1,67,20130822,6,4081,1
1,67,20130404,6,1678,1
1,67,20131017,5,1893,1
1,67,20140131,6,4140,1
1,67,20130731,6,1756,1
1,67,20140130,6,1016,1
1,67,20130405,6,1888,1
1,67,20130919,5,1812,1
1,67,20131114,6,1964,1
1,67,20130503,6,1022,1
1,67,20130517,6,1030,1
1,67,20140428,6,1161,2
1,67,20130613,6,1066,1
1,67,20140115,6,4138,1
1,67,20130930,6,1027,2
1,67,20131114,6,4075,1
1,67,20131209,6,1030,1
1,67,20131113,6,4043,1
1,67,20140522,6,1868,3
1,67,20131210,6,4056,1
1,67,20141119,6,4138,5
1,67,20141201,6,1812,1
1,67,20150122,6,1678,2
1,67,20141118,6,4138,1
1,67,20150401,6,1963,1
1,67,20141015,6,3066,1
1,67,20140610,6,1985,2
1,67,20150311,6,4138,1
1,67,20150407,6,4065,1
1,67,20150912,6,1192,1
1,67,20141020,6,1963,2
1,67,20150224,5,1986,2
1,67,20140924,6,4138,1
1,67,20151123,5,4051,3
1,67,20150923,5,4051,3
1,67,20141126,6,1046,1
1,67,20150406,6,4051,5
1,67,20160119,6,1812,1
1,67,20160202,5,4003,1
1,67,20150318,6,1924,2
1,67,20151001,5,4056,1
1,67,20151221,6,4051,2
1,67,20160210,5,4003,1
1,67,20150826,6,4051,2
1,67,20151210,5,4051,2
1,67,20150922,6,4051,1
1,67,20150713,6,4051,6
1,67,20160630,6,1819,1
1,67,20160708,5,1002,1
1,67,20160418,5,4124,1
1,67,20160130,6,1868,1
1,67,20160409,6,1192,1
1,67,20160406,6,1046,1
1,67,20151126,6,1819,2
1,67,20160820,6,4051,1
1,67,20151222,6,4266,1
1,67,20160127,6,4051,3
1,67,20161215,5,1812,1
1,67,20160610,6,4068,1
1,67,20161005,6,1812,2
1,67,20160620,6,8207,1
1,67,20161118,5,1002,2
1,67,20161014,6,1027,1
1,67,20161007,6,4478,1
1,67,20160628,5,4003,1
1,67,20170401,6,8222,1
1,67,20170803,6,1027,1
1,67,20180207,6,1076,1
1,67,20170809,6,4051,2
1,67,20180226,6,1714,1
1,67,20160803,6,1064,1
1,67,20161230,6,4051,16
1,67,20170622,6,1916,1
1,67,20170902,6,4051,1
1,67,20171002,5,4051,2
1,67,20170719,5,1812,1
1,67,20170201,6,1022,1
1,67,20171031,6,4266,1
1,67,20170825,6,8211,1
1,67,20170509,6,1203,1
1,67,20170213,6,1812,1
1,67,20170831,6,1161,1
1,67,20170824,6,1161,2
1,67,20171006,6,1118,1
1,67,20170317,6,1851,2
1,67,20170918,6,1023,1
1,67,20170318,6,1279,2
1,67,20170929,6,1064,1
1,67,20170921,6,1028,1
1,67,20170919,6,1819,1
1,67,20170811,5,1812,1
1,67,20180212,5,7185,1
1,67,20180221,6,1047,1
1,67,20171012,6,4051,3
1,67,20180219,6,7236,1
1,67,20150806,2,4051,1
1,67,20160907,1,3076,1
1,67,20180207,1,7223,2
1,88,20130628,6,1812,1
1,88,20140709,6,1030,1
1,88,20161216,6,1022,1
1,88,20161015,6,1161,1
1,88,20170502,6,4148,1
1,67,20120514,6,1821,1
1,67,20121212,5,1030,1
1,67,20120921,6,1022,1
1,67,20130816,6,1022,1
1,67,20130814,6,1712,1
1,67,20141122,6,4004,1
1,67,20131226,5,1916,1
1,67,20140211,6,1022,2
1,67,20140122,6,1046,2
1,67,20140520,6,1002,1
1,67,20140328,6,1027,1
1,67,20150105,5,4123,1
1,67,20141110,6,1023,3
1,67,20150916,6,4277,1
1,67,20151202,6,1812,1
