fecha;depto;ciudad;id_examen;id_demografia;institucion;cantidad
20161122;1;55;412;206;1888;1
20160314;1;40;2776;72;5150;1
20150324;1;41;403;16;5030;1
20120524;1;40;284;87;187;1
20160624;1;40;231;82;490;1
20161129;1;40;135;252;5250;1
20171003;1;40;142;262;5187;1
20140628;1;40;430;257;657;1
20150626;1;40;2776;257;5150;1
20150620;1;40;430;77;454;1
20151021;1;40;130;77;4;1
20150310;1;40;2776;82;5150;1
20160105;1;40;2776;72;5150;1
20160504;1;40;469;87;187;1
20160412;1;40;2776;77;5150;1
20161007;1;40;135;82;4;1
20160310;1;40;2776;77;5150;1
20160730;1;40;2776;252;5150;1
20170602;1;40;2776;262;5150;1
20161216;1;40;235;87;3826;1
20170313;1;40;2776;87;5150;1
20171102;1;40;2776;62;5150;1
20170330;1;40;2776;77;5151;1
20180224;1;40;708;77;784;1
20141211;1;41;172;87;5030;1
20150731;1;41;135;72;258;1
20150824;1;41;403;72;258;1
20150806;1;41;2776;262;5151;1
20160521;1;41;2776;72;5151;1
20161110;1;41;284;77;258;1
20160419;1;41;135;87;5030;1
20170210;1;41;2776;77;5151;1
20170412;1;41;2776;77;5151;1
20170829;1;41;135;262;258;1
20160926;1;43;2776;221;5150;1
20131209;1;41;284;56;258;1
20150929;1;41;135;46;5030;1
20150806;1;41;257;41;219;1
20160420;1;41;412;51;1631;1
20170210;1;41;135;56;258;1
20170301;1;41;269;56;254;1
20161020;1;41;2776;56;5151;1
20170610;1;41;2776;56;5151;1
20161213;1;41;2776;236;5151;1
20170215;1;41;2776;236;5151;1
20171205;1;41;2776;236;5151;1
20160509;1;41;257;201;6005;1
20170823;1;53;337;51;4;1
20141119;1;40;138;41;187;1
20140612;1;40;178;51;28;1
20150422;1;40;2776;41;5150;1
20171101;1;40;425;46;5245;1
20170225;1;52;204;221;5187;1
20160303;1;41;806;51;1002;1
20160822;1;41;2776;51;5151;1
20160826;1;41;177;56;294;1
20161008;1;41;257;56;6005;1
20160824;1;41;2776;51;5151;1
20161020;1;41;134;51;258;1
20170907;1;41;2776;231;5151;1
20170605;1;41;134;51;3773;1
20170831;1;41;496;36;258;1
20180402;1;41;403;41;258;1
20160203;1;40;284;56;187;1
20150805;1;40;482;231;4;1
20160512;1;40;2776;236;5150;1
20160311;1;40;190;231;5187;1
20161124;1;40;425;236;5081;1
20180224;1;40;255;51;5245;1
20171107;1;40;2776;51;5150;3
20130321;2;21;135;56;187;1
20150521;2;21;258;231;634;1
20160610;1;52;2776;26;5150;1
20130215;1;40;162;46;440;1
20180223;1;40;2777;221;5150;1
20161111;1;40;435;51;5187;1
20170717;1;40;708;41;475;1
20170919;1;40;530;46;5232;1
20120726;1;40;134;87;187;1
20121228;1;40;257;262;30;1
20131114;1;40;134;82;187;1
20131205;1;40;139;262;4;1
20131017;1;40;189;77;13;1
20140813;1;40;2776;82;5150;1
20150306;1;40;651;87;5080;1
20150820;1;40;130;252;4;1
20150420;1;40;132;77;187;1
20151229;1;40;2776;72;5150;1
20151014;1;40;257;87;30;1
20150914;1;40;2776;82;5150;2
20160503;1;40;2776;252;5150;1
20160719;1;40;2776;82;5150;1
20151228;1;40;2776;267;5150;1
20160114;1;40;133;82;13;1
20160421;1;40;130;82;166;1
20160709;1;40;2776;77;5150;2
20161015;1;40;440;262;3976;1
20170621;1;40;403;82;4;1
20161004;1;40;284;77;5187;1
20161108;1;40;469;267;5187;1
20170621;1;40;533;72;5250;1
20170912;1;40;135;252;5250;1
20170426;1;40;134;252;3010;1
20170208;1;40;134;252;5250;1
20170427;1;40;170;257;5232;1
20170131;1;40;134;82;5250;1
20171109;1;40;149;72;5273;1
20170711;1;40;66;72;3;1
20170613;1;40;134;82;5187;1
20170630;1;40;2776;72;5150;1
20170502;1;40;190;257;5187;1
20180226;1;40;2776;82;5150;1
