id_especialista,nombre,sede,zona
659,CENTRO MEDICO DEL PARQUE,18,S
773,CENTRO MEDICO FLORIDA,21,C
805,CLUB BIENESTAR,18,C
1,HAROLD PENA-CONTACTO,1,N
4,JORGE GOMEZ,1,C
5,JACKELINE AGUILAR,38,C
12,OPTIMA VISION GINEBRA,38,C
13,RADIOLOGIA ESPECIALIZADA DEL VALLE - CONTACTO,1,C
16,EVERARDO VEGA,40,C
17,OPTICA CRUZ BLANCA PRADER,1,
18,RODRIGO A VIAFARA - FLORIDA,21,S
19,NUBIA SILVA,40,C
21,YUSTIN ROMERO PALMIRA,1,
22,CARLOS RUIZ,40,C
25,JUSTINO LARA,1,
26,CARLOS GUIDO ARCE ROJAS,1,C
27,ANDRES R VIAFARA,21,S
28,CLINICA DE FRACTURAS S.A.S,1,C
29,OPTICA MILENIO,40,C
30,EDUARDO GOMEZ,1,C
31,JAIME RODRIGUEZ,1,C
32,GLORIA MURCILLO,1,C
33,SAULO HURTADO VICTORIA,1,
34,VICTORIA EUGENIA PARRA M,1,C
35,CRUZ BLANCA,40,C
36,OLGA LUCIA DE GIRALDO,1,C
37,FISIOTERAPIA INTEGRAL MIRANDA,23,C
38,PATRICIA ESCOBAR,1,C
39,MARIA I HURTADO PALMIRA,1,
40,URIEL A ALZATE,1,C
41,RODOLFO GARCIA CONTACTO,1,C
42,PATRICIA COHEN PALMIRA,1,C
43,FISIOTERAPIA INTEGRAL MIR,23,C
44,JOSE LUCIANO RUEDA,1,C
45,CENTRO MEDICO NUESTRA SE§ORA DEL ROS,23,C
46,MANUEL PUENTES,23,C
47,JORGE HUMBERTO PARRA GARZ,1,
48,MARIANA ORBE,1,C
49,VICTORIA EUGENIA PARRA M,1,C
50,JULIA A MAYA PALMIRA,1,
51,GLADYS REYES,1,C
52,JACQUELINE AGUILAR PALMIR,1,C
53,LEONOR LESMES,1,C
54,OPTICA MILENIO EU MIRANDA,23,C
55,GIOVANNY STORINO,1,N
56,GEAN CARLO STORINO,1,C
57,EDGAR VICENTE SACANAMBOY,1,
58,SANDRA PIEDAD MONROY,1,
59,LUCIANO LEPESQUEUR,1,C
60,MARCELA CUCALON PALMIRA,1,N
61,SANTIAGO CUCALON,1,C
62,HELIODORO VALENCIA,1,C
63,RAUL FIGUEROA PALMIRA,1,C
64,DARIO ESCOBAR NAVIA,1,
65,JORGE AGUILERA,1,
66,JOSE MARIA WILCHES,1,C
67,JOSE ANTONIO RUIZ DE LOS RIOS CONTACTO,1,C
68,JORGE ENRIQUE LIZARAZO,1,C
69,GLORIA M FRANCO,1,
71,OLGA LUCIA MESA,1,C
72,JOSE IGNACIO SANCHEZ SHIMA,1,C
73,JUANA CECILIA ESPINAL - MIRANDA,23,C
74,RAMIRO CUCALON,1,C
75,JUANA CECILIA ESPINAL - MIRANDA,23,C
76,JUAN CARLOS RENGIFO,1,
77,JUAN DE DIOS VELASCO,1,
78,MARIA MERCEDES GONZALEZ,1,C
