depto,ciudad,fecha,demografia,vendedor,cantidad
1,67,20120713,2,2000,1
1,87,20120525,2,2000,1
1,67,20120710,2,2000,1
1,87,20121115,2,2000,1
4,1,20140605,2,2000,1
4,1,20121114,2,2000,1
4,1,20120815,2,2000,1
4,4,20140814,2,2000,1
4,1,20140507,2,2000,1
4,7,20150722,2,2000,1
4,1,20121020,2,2000,1
4,1,20120901,2,2000,1
1,26,20140207,2,2000,1
4,1,20140304,2,2000,1
4,1,20140826,2,2000,1
4,1,20130816,2,2000,2
4,1,20140721,1,2000,1
1,91,20140425,1,2000,1
1,78,20130417,4,2000,1
1,78,20130614,4,2000,1
1,78,20131210,4,2000,1
1,78,20130522,4,2000,1
1,78,20131127,4,2000,1
1,78,20140730,4,2000,1
1,78,20131008,4,2000,1
1,78,20141008,4,2000,1
1,78,20140926,4,2000,1
3,1,20120323,4,2000,1
1,78,20131024,4,2000,1
4,1,20141030,4,2000,1
4,1,20130831,4,2000,2
4,1,20140906,4,2000,1
4,1,20141107,4,2000,1
4,1,20140802,4,2000,1
4,5,20121026,4,2000,2
4,5,20141119,4,2000,1
4,9,20130814,4,2000,1
4,4,20140718,4,2000,1
4,1,20180118,4,2000,1
4,5,20140808,4,2000,1
4,12,20120627,4,2000,1
4,13,20150108,4,2000,1
4,4,20140704,4,2000,1
4,1,20130215,4,2000,1
4,1,20130830,4,2000,1
4,1,20140523,4,2000,1
4,1,20150119,4,2000,1
4,1,20130405,4,2000,1
4,1,20141127,4,2000,1
4,1,20140402,4,2000,1
4,1,20130422,4,2000,1
4,5,20121029,4,2000,1
4,5,20140611,4,2000,1
4,5,20150616,4,2000,1
4,9,20130122,4,2000,1
4,5,20130221,4,2000,1
4,4,20130715,4,2000,1
4,4,20140120,4,2000,1
4,5,20140801,4,2000,1
4,1,20121003,4,2000,1
4,8,20140508,4,2000,1
4,1,20131120,4,2000,1
4,1,20150427,4,2000,1
4,3,20140913,4,2000,1
4,5,20140121,4,2000,1
4,1,20150525,4,2000,1
4,1,20150610,4,2000,1
4,1,20131127,4,2000,1
4,1,20180312,4,2000,1
4,5,20141204,4,2000,1
4,5,,4,2000,2
4,4,20150309,4,2000,1
4,1,20140913,4,2000,1
4,3,20131029,4,2000,1
4,5,20171228,4,2000,1
4,5,20140303,4,2000,1
4,13,20120514,4,2000,1
4,13,20150120,4,2000,1
4,1,20141002,4,2000,1
4,1,20170830,4,2000,1
4,1,20130715,4,2000,1
4,1,20150410,4,2000,1
4,1,20141014,4,2000,1
4,1,20121107,4,2000,1
4,1,20131223,4,2000,1
4,1,20130318,4,2000,1
4,9,20150321,4,2000,1
4,4,20140910,4,2000,1
4,4,20150121,4,2000,1
4,5,20140114,4,2000,1
4,1,20121201,4,2000,1
4,5,20140212,4,2000,1
4,5,20141009,4,2000,2
4,3,20120802,4,2000,1
4,1,20140310,4,2000,1
4,1,20121108,4,2000,1
4,5,20120625,4,2000,1
4,10,20130813,4,2000,1
4,5,20141201,4,2000,1
4,4,20121109,4,2000,1
4,4,20140913,4,2000,1
4,1,20140829,4,2000,1
4,3,20141029,4,2000,1
4,1,20140307,4,2000,1
4,1,20140322,4,2000,1
4,1,20150328,4,2000,1
4,1,20120723,4,2000,1
4,1,20150904,4,2000,1
4,1,20130923,4,2000,1
4,5,20141022,4,2000,2
4,4,20130722,4,2000,1
4,1,20141023,4,2000,1
4,1,20131210,4,2000,1
4,3,20130912,4,2000,1
4,1,20121123,4,2000,1
4,5,20130227,4,2000,1
4,5,20140915,4,2000,1
4,1,20130605,4,2000,1
4,1,20131226,4,2000,1
4,5,20121010,4,2000,1
4,9,20150220,4,2000,1
4,4,20140801,4,2000,1
4,8,20140322,4,2000,1
4,5,20171229,4,2000,1
4,3,20140725,4,2000,1
4,1,20140305,4,2000,1
