fecha,plan,sede,depto,ciudad,vendedor,cantidad
20120823,143,2,1,50,1873,3
20120826,143,2,1,53,5754,3
20120120,143,2,1,53,1873,2
20120127,143,2,1,53,1876,2
20120125,143,2,1,53,1127,1
20120202,143,2,1,53,5754,1
20120201,143,2,1,53,1127,12
20120203,143,2,1,53,1127,2
20120131,143,2,1,53,1127,2
20120131,143,2,1,53,5753,1
20120207,143,2,1,53,5753,1
20120222,143,2,1,53,600,1
20120227,143,2,1,53,5796,1
20120229,143,2,1,53,5753,1
20120304,143,2,1,53,1127,1
20120302,143,2,1,53,1127,1
20120301,143,2,1,53,1127,4
20120302,143,2,1,53,1876,1
20120303,143,2,1,53,1876,8
20120315,143,2,1,53,5796,5
20120314,143,2,1,53,1127,1
20120321,143,2,1,53,1873,1
20120320,143,2,1,53,1876,1
20120323,143,2,1,53,1876,1
20120321,143,2,1,53,5773,2
20120323,143,2,1,53,4635,1
20120322,143,2,1,53,5796,1
20120411,143,2,1,53,5773,1
20120412,143,2,1,53,1127,2
20120410,143,2,1,53,1127,4
20120420,143,2,1,53,1127,1
20120418,143,2,1,53,5773,2
20120425,143,2,1,53,5753,1
20120424,143,2,1,50,1876,1
20120426,143,2,1,53,1876,1
20120424,143,2,1,53,600,1
20120426,143,2,1,53,1674,1
20120504,143,2,1,53,5754,4
20120509,143,2,1,53,1127,2
20120510,143,2,1,53,1127,1
20120509,143,2,1,53,5754,1
20120509,143,2,1,53,1876,4
20120511,143,2,1,50,1876,1
20120516,143,2,1,53,1876,2
20120518,143,2,1,53,5773,3
20120518,143,2,1,53,5816,1
20120517,143,2,1,53,5773,2
20120526,143,2,1,53,5773,3
20120601,143,2,1,53,5753,1
20120601,143,2,1,53,1127,3
20120607,143,2,1,50,5773,3
20120610,143,2,1,53,1127,4
20120610,143,2,1,53,5773,1
20120614,143,2,1,50,5773,2
20120624,143,2,1,53,5754,1
20120628,143,2,1,50,600,1
20120626,143,2,1,53,5754,1
20120713,143,2,1,53,5773,7
20120720,143,2,1,53,5821,2
20120727,143,2,1,53,5821,2
20120802,143,2,1,53,1674,2
20120806,143,2,1,53,1674,1
20120814,143,2,1,53,600,1
20120820,143,2,1,53,5753,8
20120816,143,2,1,53,1127,1
20120830,143,2,1,53,1127,1
20120901,143,2,1,53,5773,6
20120905,143,2,1,53,1674,1
20120905,143,2,1,53,5754,1
20120911,143,2,1,53,600,1
20120917,143,2,1,53,5773,1
20120928,143,2,1,53,5773,2
20120926,143,2,1,53,5753,1
20121002,143,2,1,53,1674,1
20121011,143,2,1,53,5858,1
20121025,143,2,1,48,1674,1
20121028,143,2,1,53,5773,15
20121108,143,2,1,53,5773,4
20121108,143,2,1,53,5865,7
20121108,143,2,1,53,5753,3
20121113,143,2,1,53,600,1
20121203,143,2,1,53,4635,1
20121213,143,2,1,53,5860,1
20121225,143,2,1,53,5773,1
20121219,143,2,1,53,5773,2
20121225,143,2,1,53,5865,2
20130108,143,2,1,53,600,1
20130108,143,2,1,53,5872,2
20130120,143,2,1,53,5858,1
20130120,143,2,1,50,5860,5
20130118,143,2,1,53,5879,3
20130117,143,2,1,53,5875,1
20130116,143,2,1,53,5880,1
20130119,143,2,1,53,5880,3
20130122,143,2,1,53,1674,1
20120125,144,2,1,53,5753,1
20120223,144,2,1,53,5753,1
20120321,144,2,1,63,5753,1
20120402,144,2,1,53,5773,1
