fecha,plan,sede,depto,ciudad,vendedor,cantidad
20120111,143,1,1,40,5243,1
20120201,143,1,1,50,6090,1
20120120,143,1,1,50,1095,2
20120118,143,1,1,40,1095,2
20120120,143,1,1,40,1095,2
20120126,143,1,1,53,5243,1
20120203,143,1,1,40,6257,1
20120203,143,1,1,40,6108,1
20120210,143,1,1,40,123,1
20120210,143,1,1,40,6257,1
20120215,143,1,1,58,6108,1
20120214,143,1,1,40,5243,1
20120214,143,1,1,40,5157,1
20120223,143,1,1,40,102,1
20120228,143,1,1,52,6255,1
20120302,143,1,1,40,1095,3
20120302,143,1,1,40,6294,1
20120309,143,1,1,40,1095,1
20120309,143,1,1,40,6294,2
20120314,143,1,1,40,6257,1
20120401,143,1,1,42,5157,1
20120413,143,1,1,40,5243,1
20120413,143,1,1,40,1095,6
20120413,143,1,1,53,123,1
20120430,143,1,1,44,6257,1
20120430,143,1,1,51,6108,1
20120425,143,1,1,40,1095,1
20120426,143,1,1,40,1095,2
20120504,143,1,1,43,6108,1
20120515,143,1,1,40,102,1
20120518,143,1,1,40,6257,2
20120524,143,1,1,41,6108,2
20120530,143,1,1,53,1131,1
20120610,143,1,1,41,6108,1
20120615,143,1,1,41,5157,2
20120613,143,1,1,40,1095,1
20120712,143,1,1,40,1095,1
20120709,143,1,1,58,6259,2
20120722,143,1,1,40,123,1
20120727,143,1,1,40,1095,3
20120801,143,1,1,40,5243,2
20120825,143,1,1,53,1095,1
20120908,143,1,1,53,123,2
20120913,143,1,1,45,6090,1
20120912,143,1,1,41,7016,1
20120917,143,1,1,40,7016,1
20120918,143,1,1,45,6108,1
20120923,143,1,1,52,123,2
20120928,143,1,1,40,1095,1
20121001,143,1,1,40,1095,1
20121014,143,1,1,40,7016,5
20121018,143,1,1,40,123,5
20121027,143,1,1,40,7016,1
20121027,143,1,1,40,6108,1
20121101,143,1,1,53,6108,1
20121103,143,1,1,40,1095,1
20121104,143,1,1,45,6090,4
20121116,143,1,1,40,1095,1
20121121,143,1,1,40,1095,1
20121204,143,1,1,53,6108,1
20121209,143,1,1,53,123,1
20121211,143,1,1,40,1095,1
20121213,143,1,1,40,7096,2
20130118,143,1,1,40,6108,2
20130117,143,1,1,40,1095,1
20130122,143,1,1,40,102,1
20130124,143,1,1,52,6108,2
20130122,143,1,1,40,5243,3
20120203,143,1,2,21,123,1
20120208,143,1,2,65,5243,1
20120217,143,1,1,46,6108,1
