fecha,plan,sede,dpto,ciudad,vendedor,cantidad
20120202,143,4,3,1,3725,1
20120226,143,4,3,3,5319,1
20120228,143,4,3,1,5310,1
20120301,143,4,3,1,5310,1
20120316,143,4,3,2,3725,1
20120315,143,4,3,1,5310,1
20120316,143,4,3,2,5310,1
20120323,143,4,3,1,5329,3
20120412,143,4,3,1,3725,1
20120510,143,4,1,74,5349,1
20120619,143,4,3,1,3725,1
20120307,144,4,3,1,5327,1
20120412,144,4,3,1,3725,1
20120411,144,4,3,2,5327,1
20120419,144,4,3,2,3725,6
20120502,144,4,1,74,3725,1
20120514,144,4,3,1,3725,1
20120113,321,4,3,2,4582,1
20120111,321,4,3,2,4589,1
20120110,321,4,3,2,4573,2
20120114,321,4,3,1,4582,1
20120122,321,4,3,1,4582,1
20120123,321,4,3,2,1371,2
20120116,321,4,3,2,4589,2
20120120,321,4,3,2,3346,1
20120127,321,4,3,2,4582,1
20120125,321,4,3,2,4596,1
20120127,321,4,3,2,1371,1
20120205,321,4,3,1,4328,2
20120130,321,4,3,2,5317,1
20120204,321,4,3,1,4596,1
20120201,321,4,3,1,4596,1
20120203,321,4,3,1,1371,2
20120205,321,4,1,74,4538,1
20120209,321,4,3,1,1338,1
20120209,321,4,3,1,313,1
20120206,321,4,3,1,3346,1
20120211,321,4,3,1,4328,1
20120207,321,4,3,1,4596,1
20120210,321,4,3,1,4583,1
20120214,321,4,3,1,4589,2
20120216,321,4,3,1,3346,2
20120215,321,4,3,1,4583,1
20120224,321,4,3,2,302,1
20120223,321,4,3,1,3346,1
20120224,321,4,3,1,4583,1
20120221,321,4,3,1,1371,1
20120222,321,4,3,1,4577,1
20120221,321,4,3,1,5322,1
20120229,321,4,3,2,302,1
20120229,321,4,3,1,5331,1
20120307,321,4,3,1,3346,2
20120308,321,4,3,1,3346,2
20120310,321,4,3,1,4596,1
20120307,321,4,3,1,5325,1
20120306,321,4,3,1,5324,1
20120308,321,4,3,1,5324,2
20120313,321,4,3,1,5325,1
20120312,321,4,3,1,5325,1
20120316,321,4,3,1,3346,1
20120313,321,4,3,3,3346,1
20120316,321,4,3,1,5315,1
20120313,321,4,3,1,5315,1
20120320,321,4,3,1,4573,1
20120329,321,4,3,1,302,1
20120327,321,4,3,1,4577,2
20120331,321,4,3,1,4577,1
20120330,321,4,3,2,4582,1
20120329,321,4,3,1,5330,1
