depto,ciudad,fecha,demografia,vendedor,cantidad
1,64,20130125,2,102,1
1,55,20131108,2,102,1
1,64,20140711,2,102,1
1,64,20140506,2,102,1
1,64,20130720,2,102,1
1,55,20130903,2,102,1
1,55,20130906,2,102,1
1,55,20130606,2,102,2
1,64,20130313,2,102,1
1,64,20121001,2,102,2
1,55,20130826,2,102,1
1,55,20140614,2,102,1
1,55,20140613,2,102,1
1,64,20130305,2,102,1
1,64,20130318,2,102,1
1,55,20130813,2,102,1
1,64,20130704,2,102,1
1,64,,2,102,2
1,64,20130722,2,102,1
1,49,20130730,2,102,1
1,41,20121129,2,102,1
1,41,20121127,2,102,2
1,41,20140130,2,102,1
1,41,20171221,2,102,1
1,41,20180306,2,102,1
1,41,20140829,2,102,2
1,41,20131128,2,102,1
1,41,20140721,2,102,2
1,41,,2,102,5
1,41,20140626,2,102,2
1,41,20121128,2,102,1
1,41,20130417,2,102,1
1,41,20140702,2,102,1
1,41,20140227,2,102,1
1,41,20140430,2,102,1
1,42,20130320,2,102,1
1,42,20131025,2,102,1
1,40,20131217,2,102,1
1,42,20120409,2,102,1
1,56,20120822,2,102,1
1,59,20120710,2,102,1
1,59,20120831,2,102,1
1,50,20130117,2,102,1
1,81,20130527,2,102,1
1,81,20140212,2,102,2
1,81,20140213,2,102,2
1,81,20130607,2,102,1
1,81,20130503,2,102,1
1,81,20130430,2,102,1
1,81,,2,102,9
1,81,20130405,2,102,1
2,65,20140512,2,102,1
1,50,20121126,2,102,1
1,51,20130702,2,102,1
2,33,20131012,2,102,1
2,33,20130516,2,102,1
1,41,20120911,2,102,1
1,40,20120802,2,102,1
1,60,20140225,2,102,1
1,81,20130618,2,102,1
2,21,20120328,2,102,1
1,63,20120403,2,102,1
2,29,20120716,2,102,1
2,29,20130214,2,102,1
2,29,20130103,2,102,1
2,29,20121005,2,102,1
2,29,20140527,2,102,1
2,29,20130814,2,102,2
2,33,20120717,2,102,1
2,29,20130311,2,102,1
2,12,20120904,2,102,1
2,12,20130703,2,102,1
2,11,20121018,2,102,1
1,58,20140826,2,102,1
1,58,20131216,2,102,1
2,28,20131021,2,102,1
2,28,20140430,2,102,1
