depto,ciudad,fecha,demografia,vendedor,cantidad
1,74,20181221,1,49,1
1,74,20171207,1,49,1
1,74,20180123,1,49,2
1,74,,1,49,1
1,61,20180124,2,49,1
1,74,20150704,2,49,1
1,74,20150727,2,49,3
1,61,20180118,2,49,1
1,74,20171228,2,49,1
1,74,20150522,2,49,1
1,74,20180127,2,49,1
3,3,20170820,2,49,1
1,74,20150715,2,49,1
1,74,20170601,2,49,1
3,1,20180212,2,49,1
1,74,20171218,2,49,1
1,74,,2,49,2
3,1,20180131,2,49,1
1,74,20180120,2,49,1
1,74,20170623,2,49,1
1,74,20180213,2,49,2
1,74,20180112,2,49,1
3,1,20120822,3,49,3
1,65,20170209,3,49,2
1,74,20171212,3,49,1
3,1,20150612,3,49,1
3,2,20150327,3,49,1
3,1,,3,49,2
3,1,20150304,3,49,1
1,74,20150309,3,49,1
3,2,20150330,3,49,1
1,74,20180206,3,49,1
3,1,20150307,3,49,1
3,2,,4,49,3
3,1,20150709,4,49,1
3,3,20120822,4,49,2
1,91,20171220,4,49,1
3,1,20120822,4,49,8
3,1,20150227,4,49,1
3,1,20130910,4,49,1
1,74,20141203,4,49,1
3,3,20150917,4,49,1
1,74,20171221,4,49,1
3,1,20150612,4,49,2
3,1,20180207,4,49,1
3,3,20170728,4,49,1
1,74,20150216,4,49,1
3,2,20150810,4,49,1
1,20,20171010,4,49,1
3,1,20130417,4,49,1
3,2,20150515,4,49,1
3,2,20180130,4,49,1
1,74,,4,49,2
3,2,20180102,4,49,1
1,20,20180130,4,49,1
1,74,20121128,4,49,1
3,1,20150413,4,49,1
1,20,,4,49,1
3,1,20150326,4,49,1
3,1,,4,49,2
3,2,20150417,4,49,1
3,1,20150708,4,49,1
1,74,20171127,4,49,1
3,1,20150921,4,49,1
3,1,20140208,4,49,1
3,2,20150320,4,49,1
1,20,20170831,4,49,1
1,20,20171207,4,49,1
3,2,20150316,4,49,1
1,74,20150813,4,49,1
1,74,20171201,4,49,1
1,20,20170315,4,49,1
3,1,20130424,4,49,1
3,1,20150731,4,49,1
1,74,20171211,4,49,1
3,2,20120827,4,49,1
3,2,20150622,4,49,1
3,1,20150320,4,49,1
1,20,20180215,4,49,1
3,2,20150509,4,49,1
3,1,20171218,4,49,1
3,1,20161209,4,49,1
3,2,20150506,4,49,1
3,2,20180220,4,49,1
1,74,20150428,4,49,1
3,2,20150218,4,49,1
3,1,20130730,4,49,1
3,4,20130515,4,49,1
3,1,20131204,5,49,1
3,1,,5,49,1
1,74,20170218,5,49,1
1,74,20150725,5,49,1
1,74,20170227,5,49,1
3,13,20170504,5,49,1
1,74,20150709,5,49,1
3,1,20150126,5,49,1
3,2,,5,49,1
1,74,20180102,5,49,1
1,74,20171214,5,49,1
1,74,20160511,5,49,1
3,1,20150715,5,49,1
1,74,20170222,5,49,1
3,1,20130314,6,49,1
3,1,20130530,6,49,1
3,1,20120822,6,49,3
3,1,20150717,6,49,1
1,74,20171228,6,49,1
3,2,20161226,6,49,1
1,74,20171226,6,49,1
3,1,20170323,6,49,1
3,1,20120613,6,49,1
3,1,20150808,6,49,1
1,74,20171005,6,49,1
3,1,20150511,6,49,1
3,1,20170308,6,49,1
3,1,20170112,6,49,1
1,77,20180127,6,49,1
1,74,20171204,6,49,1
3,1,20180215,6,49,1
3,1,20130206,6,49,1
1,74,20171221,6,49,3
3,1,20141010,6,49,1
1,74,20161115,6,49,1
1,74,20170731,6,49,1
3,1,20180222,6,49,1
1,74,20180212,6,49,1
1,74,,6,49,1
3,1,20120911,7,49,1
3,1,,7,49,1
3,3,20180122,8,49,1
3,1,20150130,8,49,1
3,2,20170526,8,49,1
3,1,,8,49,1
3,2,20150708,8,49,1
3,1,20150325,9,49,1
3,1,20150216,10,49,1
3,1,20161216,10,49,1
3,1,20150206,10,49,1
3,1,20130727,10,49,1
3,1,20150529,10,49,2
3,1,20160831,10,49,1
3,1,20141203,1,49,1
3,2,,1,49,1
6,3,,1,49,2
6,3,20180209,1,49,1
1,76,20171221,1,49,1
3,5,20150806,1,49,1
3,2,20131011,3,49,1
3,1,20170906,1,157,2
3,1,20150420,2,157,1
3,1,20170316,3,157,1
3,1,20130724,3,157,1
3,1,20160622,3,157,1
3,3,20150203,3,157,1
3,2,20140311,3,157,1
3,1,20120912,3,157,1
3,1,20171117,3,157,1
3,1,20170323,3,157,1
1,20,20171214,4,157,1
3,1,20161102,4,157,1
3,2,20120726,4,157,1
3,1,20150310,4,157,1
3,1,20130218,4,157,1
1,74,20160825,4,157,1
3,1,20150318,4,157,1
3,1,20161201,4,157,1
3,1,20160822,4,157,1
3,2,20130712,4,157,1
3,1,20130425,5,157,1
3,1,20140919,5,157,1
3,1,20150309,5,157,1
3,1,20150121,5,157,1
3,1,20170602,5,157,1
1,74,20130702,5,157,1
3,1,20130415,6,157,1
3,1,20161123,6,157,1
3,1,20120808,6,157,1
3,1,20121008,6,157,1
3,1,20160712,6,157,1
3,1,20160823,6,157,1
3,1,20120423,6,157,1
3,1,20170313,6,157,1
3,1,20131128,6,157,1
3,1,20150312,6,157,1
3,3,20130730,6,157,1
3,1,20150417,6,157,1
3,1,20170406,6,157,1
3,1,20170129,7,157,1
3,2,20160616,7,157,1
3,3,20130913,7,157,1
3,2,20131202,8,157,1
3,1,20180131,8,157,1
3,3,20170906,8,157,1
3,1,20140604,8,157,1
3,1,20160105,8,157,1
3,3,20170323,8,157,1
3,1,20150430,9,157,1
6,3,20170504,1,157,1
6,3,20130927,1,157,1
4,1,20160805,4,223,1
3,2,20160805,4,389,1
1,53,20160601,6,407,1
1,53,20160603,6,407,1
1,53,20160603,6,408,1
3,1,20180117,4,424,1
3,1,20160607,2,439,1
1,53,20170726,6,441,1
3,1,20160425,2,461,1
3,1,20160614,2,461,1
1,53,20170727,6,461,1
1,53,20170717,6,461,2
3,3,20160721,1,461,1
3,1,20160301,10,466,1
1,53,20170718,6,478,1
3,1,20161019,4,544,1
1,53,20160603,6,544,1
1,53,20170727,6,544,1
1,91,20171005,5,548,1
1,91,20161117,5,548,1
1,53,20160601,6,630,1
1,74,20170926,1,635,1
1,74,20170824,1,635,1
1,53,20160607,6,666,1
3,1,20161207,3,691,1
3,4,20170222,3,692,1
3,4,20170811,3,692,1
1,53,20170729,6,692,1
1,53,20170719,6,703,2
3,4,20160422,6,741,1
3,1,20171214,4,763,1
3,2,20160518,4,801,1
3,1,20160713,4,801,1
3,1,20160428,6,801,1
1,53,20160630,6,857,1
3,1,20161021,3,858,1
3,1,20160706,4,858,1
3,1,20160302,4,858,1
3,1,20161019,4,858,1
1,53,20170726,6,858,2
1,53,20160607,6,858,1
1,53,20161006,6,858,1
1,53,20171206,6,858,1
1,53,20170717,6,858,2
1,61,20170906,1,876,1
1,61,20170828,1,876,1
1,61,20170801,1,876,1
3,1,20170404,4,876,1
1,61,,2,1300,1
1,61,20120821,2,1300,1
3,1,20120313,2,1300,1
3,1,20120306,2,1300,1
1,91,20140729,3,1300,1
3,4,20130423,3,1300,1
3,2,20130912,3,1300,1
3,1,20121004,3,1300,1
3,1,20140729,4,1300,1
